,Produit,Année,Unité,Valeur,Symbole,Description du Symbole
0,Ananas,2010,1000 USD,394,E,Valeur estimée
1,Ananas,2011,1000 USD,458,E,Valeur estimée
2,Ananas,2012,1000 USD,572,E,Valeur estimée
3,Ananas,2013,1000 USD,658,E,Valeur estimée
4,Ananas,2014,1000 USD,739,E,Valeur estimée
5,Ananas,2015,1000 USD,645,E,Valeur estimée
6,Ananas,2016,1000 USD,408,E,Valeur estimée
7,Ananas,2017,1000 USD,498,E,Valeur estimée
8,Ananas,2018,1000 USD,489,E,Valeur estimée
9,Ananas,2019,1000 USD,408,E,Valeur estimée
10,Ananas,2020,1000 USD,464,E,Valeur estimée
11,Ananas,2021,1000 USD,516,E,Valeur estimée
12,Ananas,2022,1000 USD,453,E,Valeur estimée
13,Ananas,2023,1000 USD,474,E,Valeur estimée
14,Ananas,2024,1000 USD,481,E,Valeur estimée
15,Arachides non décortiquées,2010,1000 USD,20559,A,Chiffre officiel
16,Arachides non décortiquées,2011,1000 USD,27606,A,Chiffre officiel
17,Arachides non décortiquées,2012,1000 USD,32394,A,Chiffre officiel
18,Arachides non décortiquées,2013,1000 USD,26931,A,Chiffre officiel
19,Arachides non décortiquées,2014,1000 USD,25578,A,Chiffre officiel
20,Arachides non décortiquées,2015,1000 USD,23367,A,Chiffre officiel
21,Arachides non décortiquées,2016,1000 USD,24977,A,Chiffre officiel
22,Arachides non décortiquées,2017,1000 USD,23145,A,Chiffre officiel
23,Arachides non décortiquées,2018,1000 USD,27389,A,Chiffre officiel
24,Arachides non décortiquées,2019,1000 USD,22675,A,Chiffre officiel
25,Arachides non décortiquées,2020,1000 USD,21795,A,Chiffre officiel
26,Arachides non décortiquées,2021,1000 USD,21842,A,Chiffre officiel
27,Arachides non décortiquées,2022,1000 USD,23485,A,Chiffre officiel
28,Arachides non décortiquées,2023,1000 USD,27347,E,Valeur estimée
29,Arachides non décortiquées,2024,1000 USD,28921,E,Valeur estimée
30,Autres fruits n.a.c.,2010,1000 USD,10430,E,Valeur estimée
31,Autres fruits n.a.c.,2011,1000 USD,10083,E,Valeur estimée
32,Autres fruits n.a.c.,2012,1000 USD,10272,E,Valeur estimée
33,Autres fruits n.a.c.,2013,1000 USD,11430,E,Valeur estimée
34,Autres fruits n.a.c.,2014,1000 USD,12674,E,Valeur estimée
35,Autres fruits n.a.c.,2015,1000 USD,13036,E,Valeur estimée
36,Autres fruits n.a.c.,2016,1000 USD,16612,E,Valeur estimée
37,Autres fruits n.a.c.,2017,1000 USD,20268,E,Valeur estimée
38,Autres fruits n.a.c.,2018,1000 USD,31519,E,Valeur estimée
39,Autres fruits n.a.c.,2019,1000 USD,28388,E,Valeur estimée
